DATAFLOW,LAST UPDATE,freq,unit,age,sex,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2014,1126709,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2015,1125042,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2016,1127008,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2017,1169273,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2018,1198782,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2019,1268137,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2020,1322257,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2021,1422065,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2022,1431311,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 27 countries (from 2020),2023,1414654,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 28 countries (2013-2020),2014,1408973,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 28 countries (2013-2020),2015,1398042,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 28 countries (2013-2020),2016,1413494,,
ESTAT:EDUC_UOE_ENRT02$DEFAULTVIEW(1.0),01/10/25 23:00:00,Annual,Number,Total,Total,Short-cycle tertiary education,European Union - 28 countries (2013-2020),2017,1456735,,
