DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Greece,2021,1007,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2012,2094,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2013,2538,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2014,2567,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2015,2509,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2016,2384,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2017,2297,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2018,2175,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2019,2243,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2020,2463,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Spain,2021,3305,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2014,21680,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2015,26063,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2016,24525,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2017,27577,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2018,29461,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2019,31965,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2020,34524,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 27 countries (from 2020),2021,38526,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 28 countries (2013-2020),2014,26743,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 28 countries (2013-2020),2015,31216,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 28 countries (2013-2020),2016,29883,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 28 countries (2013-2020),2017,32993,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 28 countries (2013-2020),2018,35413,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,European Union - 28 countries (2013-2020),2019,38726,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2013,620,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2014,695,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2015,731,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2016,817,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2017,734,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2018,869,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2019,953,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2020,1173,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Finland,2021,1150,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2013,4067,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2014,3714,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2015,3914,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2016,3856,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2017,3982,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2018,5419,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2019,5427,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2020,5798,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,France,2021,6020,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2013,365,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2014,228,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2015,269,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2016,341,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2017,394,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2018,295,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2019,347,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2020,347,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Croatia,2021,398,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2013,369,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2014,394,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2015,378,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2016,554,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2017,454,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2018,501,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2019,510,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2020,958,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Hungary,2021,700,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2013,595,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2014,693,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2015,1168,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2016,1140,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2017,1288,,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2018,1745,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2019,1683,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2020,2124,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Ireland,2021,2217,d,
ESTAT:EDUC_UOE_GRAD02(1.0),07/10/25 23:00:00,Annual,Number,Tertiary education (levels 5-8),Information and communication technologies,Females,Iceland,2013,19,,
